Wavelength (nm),Irradiance (W/m^2/nm)
806.0,1.0942
807.0,1.0828
808.0,1.079
809.0,1.0517
810.0,1.0528
811.0,1.0502
812.0,1.0238
813.0,1.0057
814.0,0.9009
815.0,0.8926
816.0,0.8297
817.0,0.8494
818.0,0.8202
819.0,0.9026
820.0,0.8594
821.0,0.9947
822.0,0.9488
823.0,0.6708
824.0,0.9323
825.0,0.9665
826.0,0.9311
827.0,0.9818
828.0,0.8473
829.0,0.9266
830.0,0.9134
831.0,0.9212
832.0,0.8917
833.0,0.9537
834.0,0.9314
835.0,1.0003
836.0,0.9695
837.0,1.0063
838.0,0.9961
839.0,0.9984
840.0,1.0128
841.0,1.0072
842.0,0.9941
843.0,1.0024
844.0,0.9834
845.0,1.0136
846.0,1.0157
847.0,0.9888
848.0,0.9893
849.0,0.9831
850.0,0.8911
851.0,0.9721
852.0,0.9665
853.0,0.9621
854.0,0.8487
855.0,0.9104
856.0,0.9703
857.0,0.9888
858.0,0.9891
859.0,0.9888
860.0,0.9853
861.0,0.9839
862.0,0.9916
863.0,0.9976
864.0,0.9763
865.0,0.9604
866.0,0.8465
867.0,0.9128
868.0,0.9564
869.0,0.9468
870.0,0.9647
871.0,0.9511
872.0,0.9641
873.0,0.9544
874.0,0.9377
875.0,0.9242
876.0,0.95
877.0,0.9534
878.0,0.9496
879.0,0.9338
880.0,0.9368
881.0,0.906
882.0,0.9297
883.0,0.9266
884.0,0.9303
885.0,0.9415
886.0,0.9049
887.0,0.908
888.0,0.9196
889.0,0.9318
890.0,0.9213
891.0,0.9232
892.0,0.9062
893.0,0.8707
894.0,0.8488
895.0,0.8112
896.0,0.7603
897.0,0.6637
898.0,0.7157
899.0,0.5471
900.0,0.7404
901.0,0.5976
902.0,0.666
903.0,0.6869
904.0,0.8421
905.0,0.8147
906.0,0.7733
907.0,0.6367
908.0,0.6503
909.0,0.7023
910.0,0.6229
911.0,0.6661
912.0,0.6869
913.0,0.6265
914.0,0.6247
915.0,0.6764
916.0,0.5748
917.0,0.7281
918.0,0.591
919.0,0.7366
920.0,0.742
921.0,0.7782
922.0,0.6982
923.0,0.7429
924.0,0.7194
925.0,0.709
926.0,0.7013
927.0,0.7851
928.0,0.588
929.0,0.5497
930.0,0.4308
931.0,0.408
932.0,0.3
933.0,0.2477
934.0,0.1434
935.0,0.2501
936.0,0.161
937.0,0.1629
938.0,0.2
939.0,0.3977
940.0,0.4704
941.0,0.3709
942.0,0.4041
943.0,0.2775
944.0,0.285
945.0,0.3671
946.0,0.194
947.0,0.37
948.0,0.2734
949.0,0.4925
950.0,0.1468
951.0,0.4824
952.0,0.2681
953.0,0.3426
954.0,0.4229
955.0,0.3402
956.0,0.3273
957.0,0.2699
958.0,0.4597
959.0,0.3728
960.0,0.4194
961.0,0.4599
962.0,0.4405
963.0,0.5036
964.0,0.4573
965.0,0.5023
966.0,0.5013
967.0,0.5009
968.0,0.6502
969.0,0.6842
970.0,0.6328
971.0,0.7119
972.0,0.6857
973.0,0.6047
974.0,0.5736
975.0,0.5882
976.0,0.5703
977.0,0.6368
978.0,0.6133
979.0,0.6363
980.0,0.6029
981.0,0.7113
982.0,0.6902
983.0,0.6667
984.0,0.7352
985.0,0.6862
986.0,0.7487
987.0,0.7371
988.0,0.7325
989.0,0.7469
990.0,0.7301
991.0,0.7514
992.0,0.7488
993.0,0.7351
994.0,0.7519
995.0,0.7496
996.0,0.7467
997.0,0.7376
998.0,0.7367
999.0,0.7364
1000.0,0.7332
1001.0,0.7423
1002.0,0.7259
1003.0,0.7323
1004.0,0.7213
1005.0,0.6798
1006.0,0.7105
1007.0,0.7254
1008.0,0.7247
1009.0,0.7176
1010.0,0.7171
1011.0,0.7207
1012.0,0.7167
1013.0,0.7155
1014.0,0.7186
1015.0,0.7061
1016.0,0.7092
1017.0,0.7013
1018.0,0.7121
1019.0,0.6868
1020.0,0.6969
1021.0,0.6997
1022.0,0.6877
1023.0,0.6931
1024.0,0.6886
1025.0,0.6955
1026.0,0.6943
1027.0,0.691
1028.0,0.6918
1029.0,0.6843
1030.0,0.6885
1031.0,0.6854
1032.0,0.6859
1033.0,0.6742
1034.0,0.6782
1035.0,0.6804
1036.0,0.68
1037.0,0.673
1038.0,0.6698
1039.0,0.6744
1040.0,0.6698
1041.0,0.6698
1042.0,0.6701
1043.0,0.6633
1044.0,0.6664
1045.0,0.6626
1046.0,0.6453
1047.0,0.655
1048.0,0.6608
1049.0,0.657
1050.0,0.6527
1051.0,0.6533
1052.0,0.6493
1053.0,0.6473
1054.0,0.6446
1055.0,0.6466
1056.0,0.6445
1057.0,0.643
1058.0,0.6363
1059.0,0.617
1060.0,0.634
1061.0,0.6194
1062.0,0.6308
1063.0,0.6206
1064.0,0.6301
1065.0,0.6273
1066.0,0.6153
1067.0,0.6185
1068.0,0.6176
1069.0,0.5846
1070.0,0.6029
1071.0,0.6148
1072.0,0.6136
1073.0,0.6019
1074.0,0.6198
1075.0,0.5908
1076.0,0.6129
1077.0,0.6026
1078.0,0.6015
1079.0,0.603
1080.0,0.5955
1081.0,0.5791
1082.0,0.5877
1083.0,0.5964
1084.0,0.5768
1085.0,0.5916
1086.0,0.5525
1087.0,0.5653
1088.0,0.5914
1089.0,0.5775
1090.0,0.5541
1091.0,0.5866
1092.0,0.5796
1093.0,0.5091
1094.0,0.5381
1095.0,0.5192
1096.0,0.5018
1097.0,0.5768
1098.0,0.5015
1099.0,0.5062
1100.0,0.4844
1101.0,0.4955
1102.0,0.4675
1103.0,0.465
1104.0,0.4663
1105.0,0.505
1106.0,0.3968
1107.0,0.4816
1108.0,0.4144
1109.0,0.4116
1110.0,0.4776
1111.0,0.3306
1112.0,0.4124
1113.0,0.2677
1114.0,0.299
1115.0,0.2491
1116.0,0.2008
1117.0,0.0794
1118.0,0.2169
1119.0,0.1128
1120.0,0.1415
1121.0,0.1853
1122.0,0.0814
1123.0,0.1278
1124.0,0.1084
1125.0,0.1439
1126.0,0.0514
1127.0,0.1568
1128.0,0.0989
1129.0,0.1056
1130.0,0.0704
1131.0,0.2947
1132.0,0.2334
1133.0,0.1529
1134.0,0.0416
1135.0,0.0154
1136.0,0.1284
1137.0,0.287
1138.0,0.2027
1139.0,0.2976
1140.0,0.2552
1141.0,0.1928
1142.0,0.2241
1143.0,0.3109
1144.0,0.1129
1145.0,0.1456
1146.0,0.1572
1147.0,0.059
1148.0,0.2703
1149.0,0.2179
1150.0,0.1213
1151.0,0.2028
1152.0,0.2469
1153.0,0.2374
1154.0,0.1421
1155.0,0.3123
1156.0,0.2801
1157.0,0.3137
1158.0,0.3108
1159.0,0.336
1160.0,0.2856
1161.0,0.3465
1162.0,0.349
1163.0,0.4672
1164.0,0.4007
1165.0,0.3875
1166.0,0.3739
1167.0,0.4088
1168.0,0.4183
1169.0,0.4219
1170.0,0.4574
1171.0,0.447
1172.0,0.4535
1173.0,0.4551
1174.0,0.3359
1175.0,0.4511
1176.0,0.4754
1177.0,0.471
1178.0,0.359
1179.0,0.4823
1180.0,0.4394
1181.0,0.4538
1182.0,0.3222
1183.0,0.4374
1184.0,0.4186
1185.0,0.4062
1186.0,0.4758
1187.0,0.4544
1188.0,0.3341
1189.0,0.4145
1190.0,0.461
1191.0,0.4453
1192.0,0.472
1193.0,0.453
1194.0,0.4675
1195.0,0.4457
1196.0,0.4301
1197.0,0.4758
1198.0,0.4327
1199.0,0.3638
1200.0,0.447
